Meter_Id,Date,Region_Code,Dwelling_Type,Num_Occupants,House_Area (sqft),Appliance_Score,Connected_Load(kw),Temperature_C,Humidity (%),Expected_Energy(kwh),Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage
IN-KL-ELC-22581767,30-01-2023,IN_KL_ALP,Independent House,5,665,11,3.83,29.28,45.16,15.26 kWh,12.94 kWh,-15.2,17.83,0
IN-KL-ELC-93680367,22-01-2023,IN_KL_TVM,Villa,6,962,6,5.24,31.66,66.22,16.23 kWh,15.75 kWh,-2.96,16.02,0
IN-KL-ELC-54459619,16-01-2023,IN_KL_ERN,Villa,1,2316,14,5.18,31.85,63.39,13.45 kWh,13.11 kWh,-2.53,16.28,0
IN-KL-ELC-32146342,29-01-2023,IN_KL_TVM,Apartment,5,1080,18,3.74,33.63,59.69,18.77 kWh,18.15 kWh,-3.3,17.26,0
IN-KL-ELC-64023664,30-01-2023,IN_KL_ERN,Independent House,2,569,9,3.71,27.5,47.31,10.91 kWh,10.45 kWh,-4.22,16.43,1
IN-KL-ELC-70933352,07-01-2023,IN_KL_ALP,Independent House,3,765,11,5.43,23.14,56.62,12.94 kWh,11.56 kWh,-10.66,17.83,1
IN-KL-ELC-46470083,17-01-2023,IN_KL_TVM,Independent House,2,2202,12,3.44,28.58,50.19,11.92 kWh,21.148635839134133 kWh,77.42,16.89,1
IN-KL-ELC-56602744,12-01-2023,IN_KL_TVM,Independent House,5,814,13,6.8,31.72,61.61,18.82 kWh,19.02 kWh,1.06,16.89,0
IN-KL-ELC-61949394,04-01-2023,IN_KL_ERN,Independent House,2,1004,14,5.67,31.77,53.58,14.94 kWh,14.98 kWh,0.27,16.43,0
IN-KL-ELC-83946125,16-01-2023,IN_KL_ERN,Apartment,5,1001,17,2.84,33.28,57.95,null,18.21 kWh,3.41,16.61,0
IN-KL-ELC-72588770,24-01-2023,IN_KL_ALP,Independent House,6,460,7,5.2,27.26,84.94,15.49 kWh,16.65 kWh,7.49,17.83,0
IN-KL-ELC-34946504,05-01-2023,IN_KL_TVM,Apartment,5,838,18,4.92,27.97,67.45,18.12 kWh,18.36 kWh,1.32,17.26,0
IN-KL-ELC-74375533,12-01-2023,IN_KL_ERN,Apartment,3,2410,15,2.51,25.57,49.89,12.73 kWh,12.36 kWh,-2.91,16.61,0
IN-KL-ELC-34698377,02-01-2023,IN_KL_ERN,Independent House,3,1330,18,3.19,28.57,73.43,14.87 kWh,25.823620095610565 kWh,73.66,16.43,1
IN-KL-ELC-69957771,03-01-2023,IN_KL_ERN,Apartment,2,2148,13,5.81,29.74,69.54,14.25 kWh,14.77 kWh,3.65,16.61,0
IN-KL-ELC-77934995,02-01-2023,IN_KL_TVM,Apartment,3,2725,13,7.29,32.06,69.9,17.03 kWh,29.16265051676286 kWh,71.24,17.26,1
IN-KL-ELC-68820657,07-01-2023,IN_KL_ERN,Independent House,4,833,6,4.72,30.97,57.31,13.43 kWh,14.554506331349813 kWh,8.37,16.43,0
IN-KL-ELC-93423120,15-01-2023,IN_KL_ERN,Villa,6,1116,16,5.71,30.97,51.01,19.97 kWh,20.27 kWh,1.5,16.28,0
IN-KL-ELC-91812452,13-01-2023,IN_KL_ALP,Apartment,1,1952,10,4.27,32.38,45.06,11.4 kWh,11.06 kWh,-2.98,16.47,1
IN-KL-ELC-38289970,16-01-2023,IN_KL_TVM,Apartment,1,2029,12,4.03,36.14,63.88,12.58 kWh,23.86048921772493 kWh,89.67,17.26,1
IN-KL-ELC-61429232,11-01-2023,IN_KL_ERN,Apartment,2,2530,18,6.57,32.7,67.83,17.3 kWh,16.69 kWh,-3.53,16.61,0
IN-KL-ELC-78261392,15-01-2023,IN_KL_ALP,Apartment,1,1024,7,6.47,28.39,45.46,11.32 kWh,10.78 kWh,-4.77,16.47,1
IN-KL-ELC-28357262,06-01-2023,IN_KL_ERN,Independent House,4,821,17,6.91,28.3,58.52,18.26 kWh,16.98 kWh,-7.01,16.43,0
IN-KL-ELC-57403818,24-01-2023,IN_KL_ERN,Independent House,4,2389,10,2.99,26.84,62.31,12.71 kWh,14.576831097015917 kWh,14.69,16.43,0
IN-KL-ELC-42959637,17-01-2023,IN_KL_TVM,Independent House,4,2052,8,7.5,33.03,70.88,null,17.47 kWh,4.3,16.89,0
IN-KL-ELC-68897751,12-01-2023,IN_KL_TVM,Apartment,5,2084,17,4.3,27.26,62.8,17.14 kWh,16.27 kWh,-5.08,17.26,0
IN-KL-ELC-17499006,22-01-2023,IN_KL_TVM,Apartment,3,2424,16,5.47,27.63,49.06,15.63 kWh,16.03 kWh,2.56,17.26,0
IN-KL-ELC-39624628,12-01-2023,IN_KL_TVM,Independent House,2,1836,13,4.2,35.56,74.63,null,20.66198288782738 kWh,45.61,16.89,1
IN-KL-ELC-26306854,28-01-2023,IN_KL_ALP,Independent House,5,2616,11,7.08,23.64,74.64,16.16 kWh,15.42 kWh,-4.58,17.83,0
IN-KL-ELC-77596010,19-01-2023,IN_KL_ERN,Apartment,1,2316,6,2.69,32.26,49.66,8.7 kWh,9.12 kWh,4.83,16.61,1
IN-KL-ELC-39624628,15-01-2023,IN_KL_TVM,Independent House,2,1836,13,4.2,24.93,71.76,12.1 kWh,null,10.17,16.89,1
IN-KL-ELC-36527734,29-01-2023,IN_KL_ALP,Apartment,1,769,16,3.76,28.66,73.99,12.46 kWh,19.05451181421453 kWh,52.93,16.47,1
IN-KL-ELC-92753493,02-01-2023,IN_KL_ERN,Apartment,5,2546,17,7.11,30.54,47.59,20.15 kWh,31.640375604719594 kWh,57.02,16.61,1
IN-KL-ELC-52691692,20-01-2023,IN_KL_ERN,Villa,2,1018,10,3.4,25.37,69.49,10.65 kWh,10.22 kWh,-4.04,16.28,1
IN-KL-ELC-61826522,24-01-2023,IN_KL_ALP,Independent House,1,1393,21,6.7,29.39,72.44,16.52 kWh,15.75 kWh,-4.66,17.83,0
IN-KL-ELC-57261281,07-01-2023,IN_KL_ALP,Apartment,1,1776,14,3.77,34.54,61.47,12.85 kWh,14.21 kWh,10.58,16.47,0
IN-KL-ELC-69080674,09-01-2023,IN_KL_ALP,Independent House,6,2795,9,2.87,31.56,70.33,15.46 kWh,null,5.63,17.83,1
IN-KL-ELC-89650018,02-01-2023,IN_KL_TVM,Independent House,4,528,16,7.35,28.51,72.58,18.3 kWh,18.33 kWh,0.16,16.89,0
IN-KL-ELC-23402388,24-01-2023,IN_KL_TVM,Independent House,4,2441,21,6.64,27.77,52.02,19.26 kWh,20.48 kWh,6.33,16.89,0
IN-KL-ELC-35880395,17-01-2023,IN_KL_ALP,Apartment,6,2566,16,3.85,21.82,63.31,16.04 kWh,20.390284603060195 kWh,27.12,16.47,1
IN-KL-ELC-36789255,07-01-2023,IN_KL_ERN,Independent House,1,1818,15,3.9,32.5,74.43,12.94 kWh,12.76 kWh,-1.39,16.43,0
IN-KL-ELC-53791402,10-01-2023,IN_KL_TVM,Apartment,3,1634,10,6.35,31.18,71.22,15.02 kWh,20.298328855517152 kWh,35.14,17.26,1
IN-KL-ELC-96616497,08-01-2023,IN_KL_ERN,Apartment,2,2478,8,3.98,30.12,56.27,11.21 kWh,16.666911480193466 kWh,48.68,16.61,1
IN-KL-ELC-98073455,27-01-2023,IN_KL_ERN,Villa,5,2552,12,4.45,28.48,51.11,15.87 kWh,16.07 kWh,1.26,16.28,0
IN-KL-ELC-72588770,30-01-2023,IN_KL_ALP,Independent House,6,460,7,5.2,36.64,83.49,17.76 kWh,17.15 kWh,-3.43,17.83,0
IN-KL-ELC-27570538,04-01-2023,IN_KL_ALP,Apartment,5,683,18,4.76,30.87,72.96,18.81 kWh,20.8 kWh,10.58,16.47,0
IN-KL-ELC-27900080,20-01-2023,IN_KL_ERN,Apartment,1,2163,16,7.15,27.7,59.18,14.74 kWh,12.98 kWh,-11.94,16.61,0
IN-KL-ELC-61981697,25-01-2023,IN_KL_ERN,Independent House,4,905,14,4.55,27.23,62.96,15.25 kWh,15.7 kWh,2.95,16.43,0
IN-KL-ELC-96802592,26-01-2023,IN_KL_ALP,Independent House,4,918,21,2.51,30,50.31,16.83 kWh,null,6,17.83,1
IN-KL-ELC-46022951,23-01-2023,IN_KL_ALP,Apartment,3,2697,19,4.93,33.01,53.64,17.61 kWh,15.54 kWh,-11.75,16.47,0
IN-KL-ELC-89330274,07-01-2023,IN_KL_ERN,Independent House,2,2501,18,6.94,29.97,65.33,16.9 kWh,14.19 kWh,-16.04,16.43,0
IN-KL-ELC-94735278,10-01-2023,IN_KL_ERN,Independent House,3,931,21,5.93,36.59,74.37,20.11 kWh,20.11 kWh,0,16.43,0
IN-KL-ELC-89650018,12-01-2023,IN_KL_TVM,Independent House,4,528,16,7.35,30.53,53.2,18.86 kWh,19.17 kWh,1.64,16.89,0
IN-KL-ELC-86007090,25-01-2023,IN_KL_ERN,Villa,3,1437,13,6.88,38.89,51.81,null,18.19 kWh,-0.98,16.28,0
IN-KL-ELC-19678055,06-01-2023,IN_KL_ERN,Independent House,1,1955,20,5.8,20.84,84.38,13.5 kWh,12.05 kWh,-10.74,16.43,0
IN-KL-ELC-76726031,13-01-2023,IN_KL_ERN,Independent House,2,849,9,7.27,31.74,56.86,14.37 kWh,15.71 kWh,9.32,16.43,0
IN-KL-ELC-86401151,06-01-2023,IN_KL_TVM,Apartment,2,1498,15,3.46,24.32,54.59,12.12 kWh,12.29 kWh,1.4,17.26,0
IN-KL-ELC-57963776,08-01-2023,IN_KL_ERN,Apartment,5,1156,8,4.59,31.79,48.47,15.34 kWh,14.72 kWh,-4.04,16.61,0
IN-KL-ELC-39624628,19-01-2023,IN_KL_TVM,Independent House,2,1836,13,4.2,28.33,70.07,12.77 kWh,12.86 kWh,0.7,16.89,0
IN-KL-ELC-96990855,17-01-2023,IN_KL_ALP,Villa,5,1908,19,4.49,30.42,48.03,18.83 kWh,28.081538263237587 kWh,49.13,16.26,1
IN-KL-ELC-22833202,03-01-2023,IN_KL_ALP,Independent House,1,743,9,6.97,31.52,74.4,12.97 kWh,22.170609939189255 kWh,70.94,17.83,1
IN-KL-ELC-18533227,06-01-2023,IN_KL_TVM,Apartment,4,2790,21,4.08,25.82,72.4,16.88 kWh,16.2 kWh,-4.03,17.26,0
IN-KL-ELC-84064269,13-01-2023,IN_KL_ERN,Independent House,3,2423,10,2.56,29.16,53.22,11.77 kWh,16.517414630457694 kWh,40.33,16.43,1
IN-KL-ELC-86829181,09-01-2023,IN_KL_TVM,Apartment,3,977,15,3.88,35.97,72.35,15.97 kWh,17.13 kWh,7.26,17.26,0
IN-KL-ELC-40605535,27-01-2023,IN_KL_ALP,Independent House,1,755,12,3.42,29.46,69.01,10.97 kWh,13.901153604311423 kWh,26.72,17.83,1
IN-KL-ELC-11027367,16-01-2023,IN_KL_ALP,Villa,3,2649,14,3.9,27.03,45.5,13.69 kWh,14.9 kWh,8.84,16.26,0
IN-KL-ELC-79523894,01-01-2023,IN_KL_ERN,Apartment,6,1786,21,7.85,31.51,61.62,23.56 kWh,24.37 kWh,3.44,16.61,1
IN-KL-ELC-30440535,14-01-2023,IN_KL_ERN,Independent House,3,2037,10,5.51,33.82,83.24,14.94 kWh,27.22846522720079 kWh,82.25,16.43,1
IN-KL-ELC-37445126,13-01-2023,IN_KL_ALP,Apartment,1,1744,19,6.7,30.75,74.08,16.16 kWh,15.49 kWh,-4.15,16.47,0
IN-KL-ELC-50138855,26-01-2023,IN_KL_ALP,Apartment,2,1651,7,6.12,37.27,84.31,13.8 kWh,13.74 kWh,-0.43,16.47,0
IN-KL-ELC-54052905,13-01-2023,IN_KL_ALP,Villa,5,609,16,7.57,34.65,45.61,21.37 kWh,21.66 kWh,1.36,16.26,1
IN-KL-ELC-48039180,17-01-2023,IN_KL_ALP,Independent House,4,574,11,7.77,31.06,58.66,17.55 kWh,16.21 kWh,-7.64,17.83,0
IN-KL-ELC-69243360,10-01-2023,IN_KL_ERN,Villa,2,2649,7,3.85,28.31,56.71,10.47 kWh,8.71 kWh,-16.81,16.28,1
IN-KL-ELC-73727430,18-01-2023,IN_KL_ALP,Independent House,3,2307,18,5.22,28.49,47.63,16.34 kWh,17.11 kWh,4.71,17.83,0
IN-KL-ELC-17499006,19-01-2023,IN_KL_TVM,Apartment,3,2424,16,5.47,29.52,76.42,null,16.85 kWh,4.72,17.26,0
IN-KL-ELC-11022661,24-01-2023,IN_KL_ERN,Independent House,6,1828,13,5.67,25.16,71.58,17.25 kWh,18.02 kWh,4.46,16.43,0
IN-KL-ELC-66129276,18-01-2023,IN_KL_ALP,Apartment,3,2673,21,6.26,35.42,81.72,20.05 kWh,19.72 kWh,-1.65,16.47,0
IN-KL-ELC-96573799,23-01-2023,IN_KL_ERN,Villa,4,578,19,4.5,32.92,80.79,18.4 kWh,30.46914343647291 kWh,65.59,16.28,1
IN-KL-ELC-70410608,20-01-2023,IN_KL_TVM,Independent House,2,2108,18,4.47,23.98,46.42,13.69 kWh,14.58 kWh,6.5,16.89,0
IN-KL-ELC-34699748,25-01-2023,IN_KL_ERN,Independent House,1,2168,13,4.28,35.11,45.06,12.98 kWh,14.23 kWh,9.63,16.43,0
IN-KL-ELC-90949802,16-01-2023,IN_KL_ERN,Apartment,5,849,18,3.87,25.56,77.2,16.71 kWh,14.83 kWh,-11.25,16.61,0
IN-KL-ELC-60241510,07-01-2023,IN_KL_ERN,Apartment,4,1452,9,6.63,32.05,46.99,16.21 kWh,16.99 kWh,4.81,16.61,0
IN-KL-ELC-29431338,19-01-2023,IN_KL_TVM,Apartment,4,729,9,6.18,28.69,75.55,15.08 kWh,12.7 kWh,-15.78,17.26,0
IN-KL-ELC-69047090,03-01-2023,IN_KL_TVM,Independent House,1,2276,6,2.95,26.86,84.03,null,15.50060195408518 kWh,88.8,16.89,1
IN-KL-ELC-12257301,01-01-2023,IN_KL_ERN,Apartment,5,1948,10,4.7,36.09,70.82,17.16 kWh,22.81871624003588 kWh,32.98,16.61,1
IN-KL-ELC-12257301,11-01-2023,IN_KL_ERN,Apartment,5,1948,10,4.7,25.63,81.24,14.69 kWh,14.45 kWh,-1.63,16.61,0
IN-KL-ELC-29431338,22-01-2023,IN_KL_TVM,Apartment,4,729,9,6.18,36.46,77.28,16.88 kWh,16.77 kWh,-0.65,17.26,0
IN-KL-ELC-39118096,30-01-2023,IN_KL_ERN,Apartment,3,1256,8,5.18,25.08,57.45,12.21 kWh,13.85 kWh,13.43,16.61,0
IN-KL-ELC-13710935,15-01-2023,IN_KL_ALP,Villa,1,2140,8,4.46,32.66,67.98,10.86 kWh,18.891814016683973 kWh,73.96,16.26,1
IN-KL-ELC-37445126,23-01-2023,IN_KL_ALP,Apartment,1,1744,19,6.7,29.45,79.08,15.84 kWh,23.016584409698027 kWh,45.31,16.47,1
IN-KL-ELC-22833202,13-01-2023,IN_KL_ALP,Independent House,1,743,9,6.97,28.74,65.53,12.44 kWh,12.87 kWh,3.46,17.83,0
IN-KL-ELC-55308456,24-01-2023,IN_KL_ERN,Independent House,3,1341,8,5.83,26.84,75.23,13.02 kWh,20.553608595020755 kWh,57.86,16.43,1
IN-KL-ELC-55367153,25-01-2023,IN_KL_TVM,Independent House,1,490,12,6.27,22.52,76.79,11.72 kWh,10.96 kWh,-6.48,16.89,1
IN-KL-ELC-22833202,02-01-2023,IN_KL_ALP,Independent House,1,743,9,6.97,32.1,49.47,13.08 kWh,12.85 kWh,-1.76,17.83,0
IN-KL-ELC-90250627,06-01-2023,IN_KL_TVM,Independent House,4,2147,9,3.54,28.94,62.94,13.19 kWh,17.890019905573155 kWh,35.63,16.89,1
IN-KL-ELC-34712069,12-01-2023,IN_KL_ALP,Apartment,4,2523,21,2.53,30.03,48.41,16.85 kWh,null,-0.83,16.47,1
IN-KL-ELC-96449063,14-01-2023,IN_KL_TVM,Apartment,6,1218,20,5.2,39.96,67.68,23.79 kWh,31.245890622694372 kWh,31.34,17.26,1
IN-KL-ELC-24470126,29-01-2023,IN_KL_TVM,Apartment,3,1902,19,7.82,39.65,48.7,21.77 kWh,23.12 kWh,6.2,17.26,1
IN-KL-ELC-14754038,06-01-2023,IN_KL_ALP,Apartment,5,958,21,5.95,28.77,48.36,20.13 kWh,18.98 kWh,-5.71,16.47,0
IN-KL-ELC-52124353,17-01-2023,IN_KL_ALP,Apartment,6,1775,7,3.98,26.76,62.54,14.49 kWh,12.28 kWh,-15.25,16.47,0
IN-KL-ELC-66004831,07-01-2023,IN_KL_ERN,Apartment,6,1904,15,4.44,30.49,83.58,18.52 kWh,31.742070882708934 kWh,71.39,16.61,1
IN-KL-ELC-99631077,19-01-2023,IN_KL_ALP,Apartment,4,1597,14,7.89,21.27,68.58,16.01 kWh,16.64 kWh,3.94,16.47,0
IN-KL-ELC-68820657,08-01-2023,IN_KL_ERN,Independent House,4,833,6,4.72,29.51,57.71,13.14 kWh,null,-12.4,16.43,1
IN-KL-ELC-57340243,29-01-2023,IN_KL_ERN,Independent House,6,823,7,5.16,31.5,56.15,16.48 kWh,15.79 kWh,-4.19,16.43,0
IN-KL-ELC-16312174,14-01-2023,IN_KL_TVM,Apartment,4,453,19,3.77,42.58,74.89,20.3 kWh,28.53322750836216 kWh,40.56,17.26,1
IN-KL-ELC-86684493,16-01-2023,IN_KL_ALP,Independent House,5,2781,14,3.77,29.44,84.77,null,17.06 kWh,4.73,17.83,0
IN-KL-ELC-68860336,01-01-2023,IN_KL_ERN,Independent House,1,1118,9,7.84,32.54,74.97,13.84 kWh,13.56 kWh,-2.02,16.43,0
IN-KL-ELC-22875680,19-01-2023,IN_KL_TVM,Independent House,6,2516,8,5.68,27.46,77.23,16.22 kWh,null,38.28,16.89,1
IN-KL-ELC-68897751,26-01-2023,IN_KL_TVM,Apartment,5,2084,17,4.3,23.06,71.24,16.02 kWh,15.65 kWh,-2.31,17.26,0
IN-KL-ELC-96573799,08-01-2023,IN_KL_ERN,Villa,4,578,19,4.5,32.87,57.55,18.38 kWh,32.49435252244998 kWh,76.79,16.28,1
IN-KL-ELC-55029458,22-01-2023,IN_KL_ALP,Apartment,1,2364,16,7.53,30.59,70.85,15.68 kWh,16.88 kWh,7.65,16.47,0
IN-KL-ELC-51224449,18-01-2023,IN_KL_ALP,Independent House,5,950,20,6.09,34.49,53.17,21.63 kWh,30.39982076223046 kWh,40.54,17.83,1
IN-KL-ELC-88053158,23-01-2023,IN_KL_ALP,Apartment,5,1052,7,5.22,34.22,59.56,16.02 kWh,16.86 kWh,5.24,16.47,0
IN-KL-ELC-82157282,25-01-2023,IN_KL_TVM,Independent House,5,986,17,5.66,34.33,46.55,20.12 kWh,19.68 kWh,-2.19,16.89,0
IN-KL-ELC-45560016,18-01-2023,IN_KL_ERN,Apartment,5,2466,15,2.99,35.72,58.83,null,24.652473457437306 kWh,40.23,16.61,1
IN-KL-ELC-34946504,10-01-2023,IN_KL_TVM,Apartment,5,838,18,4.92,32.87,66.08,19.5 kWh,26.783546809664827 kWh,37.35,17.26,1
IN-KL-ELC-98421014,05-01-2023,IN_KL_TVM,Independent House,5,2082,8,5.51,23,54.36,13.99 kWh,16.7 kWh,19.37,16.89,1
IN-KL-ELC-30440535,22-01-2023,IN_KL_ERN,Independent House,3,2037,10,5.51,27.37,66.55,13.58 kWh,14.78 kWh,8.84,16.43,0
IN-KL-ELC-34698377,19-01-2023,IN_KL_ERN,Independent House,3,1330,18,3.19,34.34,79.19,16.18 kWh,15.48 kWh,-4.33,16.43,0
IN-KL-ELC-66925143,23-01-2023,IN_KL_TVM,Independent House,6,2681,7,7.13,28.65,60.92,17.24 kWh,19.67 kWh,14.1,16.89,0
IN-KL-ELC-69429201,02-01-2023,IN_KL_ERN,Villa,2,749,12,5.97,26.87,51.27,13.42 kWh,12.98 kWh,-3.28,16.28,0
IN-KL-ELC-61622615,20-01-2023,IN_KL_TVM,Apartment,2,1106,8,4.74,24.18,72.15,null,11.26 kWh,4.94,17.26,1
IN-KL-ELC-11027367,13-01-2023,IN_KL_ALP,Villa,3,2649,14,3.9,31.85,60.44,14.72 kWh,13.66 kWh,-7.2,16.26,0
IN-KL-ELC-62801448,15-01-2023,IN_KL_ALP,Independent House,5,1750,16,7.82,25.91,45.93,18.93 kWh,24.04631593774521 kWh,27.03,17.83,1
IN-KL-ELC-58776490,23-01-2023,IN_KL_ALP,Apartment,1,679,14,7.14,26.82,55.35,13.86 kWh,null,-2.16,16.47,1
IN-KL-ELC-77385755,14-01-2023,IN_KL_TVM,Apartment,4,484,19,6.29,34.04,54.53,20.12 kWh,null,3.63,17.26,1
IN-KL-ELC-18533227,12-01-2023,IN_KL_TVM,Apartment,4,2790,21,4.08,30.01,50.3,18.01 kWh,16.9 kWh,-6.16,17.26,0
IN-KL-ELC-84064269,14-01-2023,IN_KL_ERN,Independent House,3,2423,10,2.56,33.32,49.84,12.51 kWh,13.47 kWh,7.67,16.43,0
IN-KL-ELC-56502038,29-01-2023,IN_KL_ALP,Apartment,5,2182,20,3.09,26.32,77.16,17.02 kWh,17.82 kWh,4.7,16.47,0
IN-KL-ELC-86774785,13-01-2023,IN_KL_ERN,Independent House,4,2185,19,3.67,31.75,83.52,17.45 kWh,32.55960566563914 kWh,86.59,16.43,1
IN-KL-ELC-66004831,25-01-2023,IN_KL_ERN,Apartment,6,1904,15,4.44,29.71,71.26,18.3 kWh,null,0.82,16.61,1
IN-KL-ELC-11995462,07-01-2023,IN_KL_ERN,Apartment,3,1094,12,5.16,26.91,78.6,null,13.29 kWh,-4.39,16.61,0
IN-KL-ELC-46022951,21-01-2023,IN_KL_ALP,Apartment,3,2697,19,4.93,30.24,75.8,16.91 kWh,14.78 kWh,-12.6,16.47,0
IN-KL-ELC-45560016,14-01-2023,IN_KL_ERN,Apartment,5,2466,15,2.99,30.32,53.99,16.27 kWh,13.93 kWh,-14.38,16.61,0
IN-KL-ELC-34642880,18-01-2023,IN_KL_ALP,Independent House,4,701,18,6.73,29.05,52.87,18.68 kWh,17.12 kWh,-8.35,17.83,0
IN-KL-ELC-70260372,26-01-2023,IN_KL_ERN,Independent House,5,1054,8,4.03,31.59,58.41,14.87 kWh,15.33 kWh,3.09,16.43,0
IN-KL-ELC-90250627,21-01-2023,IN_KL_TVM,Independent House,4,2147,9,3.54,36.13,47.34,14.64 kWh,30.273810485442198 kWh,106.79,16.89,1
IN-KL-ELC-67819755,06-01-2023,IN_KL_ERN,Villa,5,2073,12,4.88,37.3,71.24,18.37 kWh,null,0.49,16.28,1
IN-KL-ELC-86007090,03-01-2023,IN_KL_ERN,Villa,3,1437,13,6.88,24.38,73.93,14.84 kWh,15.14 kWh,2.02,16.28,0
IN-KL-ELC-76472409,20-01-2023,IN_KL_TVM,Villa,1,788,12,3.63,28.48,60.12,10.97 kWh,9.77 kWh,-10.94,16.02,1
IN-KL-ELC-51961729,11-01-2023,IN_KL_ALP,Apartment,4,450,16,5.7,35.38,51.82,18.89 kWh,33.32289692194202 kWh,76.4,16.47,1
IN-KL-ELC-87073868,06-01-2023,IN_KL_TVM,Apartment,6,2717,6,7.52,31.61,45.16,17.96 kWh,17.7 kWh,-1.45,17.26,0
IN-KL-ELC-48120838,22-01-2023,IN_KL_ALP,Independent House,3,2244,12,4.62,29.54,76,14.07 kWh,18.84412949428157 kWh,33.93,17.83,1
IN-KL-ELC-73898526,08-01-2023,IN_KL_TVM,Independent House,5,1725,11,7.14,35.24,78.73,null,17.4 kWh,-9.89,16.89,0
IN-KL-ELC-70413205,04-01-2023,IN_KL_ALP,Independent House,6,762,19,5.22,35.27,59.87,21.98 kWh,21.93 kWh,-0.23,17.83,0
IN-KL-ELC-22581767,01-01-2023,IN_KL_ALP,Independent House,5,665,11,3.83,26.14,63.06,14.53 kWh,22.253550022865692 kWh,53.16,17.83,1
IN-KL-ELC-65980523,11-01-2023,IN_KL_TVM,Apartment,2,1885,7,5.79,22.73,64.84,10.86 kWh,17.560130324079115 kWh,61.7,17.26,1
IN-KL-ELC-18259127,30-01-2023,IN_KL_ALP,Apartment,4,1173,10,5.58,33.8,75.86,16.16 kWh,25.659595506711756 kWh,58.78,16.47,1
IN-KL-ELC-89560912,08-01-2023,IN_KL_ALP,Apartment,4,1618,19,3.41,29.68,71.74,16.73 kWh,16.94 kWh,1.26,16.47,0
IN-KL-ELC-50289690,01-01-2023,IN_KL_ALP,Independent House,2,1200,14,5.6,34.85,46.7,15.55 kWh,19.51 kWh,25.47,17.83,1
IN-KL-ELC-11744587,28-01-2023,IN_KL_ERN,Independent House,3,2004,6,6.42,24.76,52.15,12.36 kWh,19.861743486658543 kWh,60.69,16.43,1
IN-KL-ELC-63901775,24-01-2023,IN_KL_TVM,Villa,6,583,9,3.65,27.29,82.9,15.05 kWh,14.44 kWh,-4.05,16.02,0
IN-KL-ELC-69957771,06-01-2023,IN_KL_ERN,Apartment,2,2148,13,5.81,26.85,50.58,13.63 kWh,21.365278841438577 kWh,56.75,16.61,1
IN-KL-ELC-37411538,27-01-2023,IN_KL_TVM,Apartment,3,1837,6,7.27,28.56,53.15,13.75 kWh,17.077075166280846 kWh,24.2,17.26,1
IN-KL-ELC-96832271,07-01-2023,IN_KL_ALP,Independent House,2,2656,19,2.51,26.26,72.99,13.15 kWh,24.328745430608198 kWh,85.01,17.83,1
IN-KL-ELC-63901775,21-01-2023,IN_KL_TVM,Villa,6,583,9,3.65,31.11,78.28,15.95 kWh,23.75422978884586 kWh,48.93,16.02,1
IN-KL-ELC-23402388,13-01-2023,IN_KL_TVM,Independent House,4,2441,21,6.64,33.4,63.34,20.95 kWh,21.23 kWh,1.34,16.89,0
IN-KL-ELC-57223180,07-01-2023,IN_KL_TVM,Independent House,5,1213,16,4.88,34.46,66.03,19.16 kWh,28.40072359381358 kWh,48.23,16.89,1
IN-KL-ELC-15833790,28-01-2023,IN_KL_TVM,Independent House,4,2209,11,4.97,30.93,80.69,15.39 kWh,14.59 kWh,-5.2,16.89,0
IN-KL-ELC-67499236,24-01-2023,IN_KL_ERN,Apartment,2,2184,10,6.07,30.11,79.84,13.48 kWh,12.19 kWh,-9.57,16.61,0
IN-KL-ELC-42948810,15-01-2023,IN_KL_ERN,Independent House,1,1254,16,5.82,27.75,53.47,13.78 kWh,15.23 kWh,10.52,16.43,0
IN-KL-ELC-38129282,03-01-2023,IN_KL_TVM,Apartment,1,2558,19,3.39,31.71,51.3,13.84 kWh,14.36 kWh,3.76,17.26,0
IN-KL-ELC-45560016,09-01-2023,IN_KL_ERN,Apartment,5,2466,15,2.99,30.75,62.04,16.38 kWh,17.89 kWh,9.22,16.61,0
IN-KL-ELC-27773185,22-01-2023,IN_KL_ALP,Apartment,6,2752,17,5.14,31.54,57.13,20.06 kWh,20.18 kWh,0.6,16.47,0
IN-KL-ELC-20492608,05-01-2023,IN_KL_ERN,Villa,4,922,20,3.09,33.54,59.71,17.82 kWh,29.55894588702799 kWh,65.88,16.28,1
IN-KL-ELC-38968944,13-01-2023,IN_KL_ERN,Apartment,6,2655,20,2.52,33.51,61.25,19.67 kWh,19.8 kWh,0.66,16.61,0
IN-KL-ELC-49701826,02-01-2023,IN_KL_ALP,Independent House,6,2722,8,3.13,32.18,46.31,null,null,-1.23,17.83,1
IN-KL-ELC-12266547,25-01-2023,IN_KL_ERN,Apartment,6,840,13,6.13,32.15,71.04,19.56 kWh,21.39 kWh,9.36,16.61,0
IN-KL-ELC-44100893,15-01-2023,IN_KL_ERN,Villa,2,889,6,2.98,36.44,67.03,10.68 kWh,9.94 kWh,-6.93,16.28,1
IN-KL-ELC-56902115,23-01-2023,IN_KL_TVM,Apartment,4,2758,21,6.7,34.63,48.38,21.36 kWh,21.58 kWh,1.03,17.26,0
